description,category,amount,merchant,is_synthetic,is_augmented
$157 Payment for services,utilities,78.91,Phone Bill,,True
Bank Transfer $156,entertainment,43.21,Netflix,,True
payment to Coffee at Applebees,dining,56.65,Domino's,,True
Lunch at Olive Garden via Mastercard,dining,23.67,Domino's,,True
gas at uber,transportation,40.44,Mobil,,True
Direct Deposit Salary $177,salary,2000.0,,,True
$48 Groceries at Food Lion,groceries,115.94,Target,,True
old navy shopping,shopping,15.0,Nordstrom,,True
Purchase $100,subscriptions,11.37,,,True
$13 Bus Ticket ride,transportation,45.27,Train Ticket,,True
Contract Work Invoice #7957,freelance,887.67,,True,
Contract Work Invoice #6944,freelance,1399.07,,True,
payment to Taco Bell,dining,19.34,Applebees,,True
PANERA BREAD,dining,5.0,Dunkin',,True
Home Goods,shopping,235.78,Macy's,,True
Paycheck from Innovation Co $7,salary,7996.93,,,True
Contract Work Invoice #5787,freelance,221.08,,,True
Contract Work Invoice #5440,freelance,100.0,,True,
Contract Work Invoice #8504,freelance,1063.42,,True,
CONTRACT WORK INVOICE #7647,freelance,562.41,,,True
payment to Lunch at Subway,dining,72.16,Burger King,,True
Contract Work Invoice #7719,freelance,100.0,,True,
Nov eBay shopping,shopping,275.14,Gap,,True
online purchase best buy,shopping,37.09,Kohl's,,True
PRODUCE PURCHASE,groceries,61.88,Aldi,,True
Contract Work Invoice #2121,freelance,701.97,,,True
ebay order,shopping,200.55,Kohl's,,True
$191 Car maintenance,transportation,56.02,Lyft,,True
lunch at subway,dining,72.16,Burger King,,True
Taxi service via PayPal,transportation,15.39,Train Ticket,,True
Coffee at Chipotle,dining,36.15,Starbucks,True,
at Coffee at Starbucks,dining,11.16,Domino's,,True
Bank Transfer $106,utilities,203.29,Trash Service,,True
at Macy's order,shopping,115.64,Walmart,,True
direct deposit salary,salary,5685.03,,,True
contract work invoice #5100,freelance,100.0,,,True
Jan Purchase,entertainment,52.62,HBO Max,,True
Lunch at Starbucks purchase,dining,48.5,Chipotle,,True
Produce purchase $144,groceries,61.88,Aldi,,True
Weekly groceries $96,groceries,40.91,Giant,,True
Payment for services via PayPal,utilities,63.28,Cable TV,,True
COFFEE AT PANERA BREAD,dining,32.48,Taco Bell,,True
Purchase,subscriptions,25.84,,True,
Gap shopping purchase,shopping,15.0,Best Buy,,True
Contract Work Invoice #8983,freelance,100.0,,True,
$108 Public transportation,transportation,66.55,Lyft,,True
Gas at Uber purchase,transportation,40.44,Mobil,,True
Dec Monthly Salary Deposit,salary,2957.36,,,True
Dec Contract Work Invoice #6963,freelance,241.86,,,True
Groceries at Trader Joe's via Visa,groceries,75.29,Walmart,,True
Giant grocery purchase,groceries,81.55,Food Lion,,True
$164 Bank Transfer,housing,2007.38,Home Insurance,,True
Purchase via Apple Pay,healthcare,57.16,Prescription,,True
$35 Direct Deposit Salary,salary,2215.54,,,True
Contract Work Invoice #1944,freelance,100.0,,True,
KOHL'S SHOPPING,shopping,125.5,Walmart,,True
$22 Lunch at Chick-fil-A,dining,5.0,Chipotle,,True
Contract Work Invoice #8653,freelance,376.74,,True,
TRADER JOE'S GROCERY,groceries,105.95,Walmart,,True
Contract Work Invoice #1040 via Mastercard,freelance,100.0,,,True
Gas At Bus Ticket,transportation,38.63,Shell,,True
$177 Payment for services,subscriptions,5.0,,,True
Taxi service Feb,transportation,43.1,Gas Station,,True
Electronics Home Depot,shopping,109.37,Old Navy,True,
Payment For Services,healthcare,208.36,Medical Supplies,,True
$171 Purchase,healthcare,166.16,Pharmacy,,True
at Coffee at Pizza Hut,dining,34.43,Dunkin',,True
at Chipotle,dining,5.0,Wendy's,,True
Contract Work Invoice #3848,freelance,2171.84,,True,
Electronics Amazon purchase,shopping,327.96,Lowe's,,True
Sep Bank Transfer,subscriptions,14.47,,,True
produce purchase,groceries,61.88,Aldi,,True
Amazon order purchase,shopping,86.3,Best Buy,,True
EBAY SHOPPING,shopping,275.14,Gap,,True
Groceries At Kroger,groceries,105.71,Food Lion,,True
Purchase Feb,subscriptions,32.02,,,True
$197 Entertainment Transaction,entertainment,20.78,YouTube Premium,,True
$19 Payment for services,entertainment,10.0,YouTube Premium,,True
payment to Online purchase Best Buy,shopping,37.09,Kohl's,,True
Contract Work Invoice #7220,freelance,2463.2,,True,
Coffee at Taco Bell via PayPal,dining,30.27,Pizza Hut,,True
target grocery,groceries,127.59,Target,,True
Jun Purchase,utilities,67.6,Trash Service,,True
Uber ride,transportation,41.49,Mobil,True,
Purchase Sep,healthcare,63.26,Hospital,,True
Purchase $174,subscriptions,27.53,,,True
Gap shopping via Mastercard,shopping,15.0,Best Buy,,True
Applebees via PayPal,dining,14.25,Domino's,,True
Jul Clothing purchase,shopping,108.86,Old Navy,,True
$164 Coffee at Dunkin',dining,59.88,Pizza Hut,,True
$10 Amazon order,shopping,86.3,Best Buy,,True
CONTRACT WORK INVOICE #4599,freelance,303.35,,,True
Oct Online purchase Lowe's,shopping,42.87,Amazon,,True
Best Buy order via Apple Pay,shopping,80.46,Target,,True
Old Navy Shopping,shopping,15.0,Nordstrom,,True
at Gap shopping,shopping,15.0,Best Buy,,True
Lunch At Subway,dining,72.16,Burger King,,True
contract work invoice #7647,freelance,562.41,,,True
Contract Work Invoice #5373,freelance,938.6,,,True
Mar Monthly Salary Deposit,salary,2000.0,,,True
Online Purchase Home Depot,shopping,103.2,Best Buy,,True
Contract Work Invoice #8056,freelance,1199.12,,True,
AMAZON ORDER,shopping,86.3,Best Buy,,True
Aug Clothing purchase,shopping,100.01,Macy's,,True
Feb Car maintenance,transportation,45.15,Uber,,True
Taxi service $39,transportation,28.04,Mobil,,True
PURCHASE,healthcare,63.26,Hospital,,True
payment to Chipotle,dining,5.0,Wendy's,,True
COFFEE AT MCDONALD'S,dining,40.42,Applebees,,True
GAS AT UBER,transportation,40.44,Mobil,,True
contract work invoice #4226,freelance,534.03,,,True
Oct Produce purchase,groceries,122.24,Kroger,,True
Purchase $58,healthcare,20.0,Pharmacy,,True
Contract Work Invoice #8644,freelance,2045.58,,True,
payment to Applebees,dining,31.4,Wendy's,,True
DINNER AT BURGER KING,dining,35.94,Starbucks,,True
Purchase via Visa,entertainment,52.62,HBO Max,,True
Home Depot shopping purchase,shopping,190.35,Old Navy,,True
Supermarket purchase $71,groceries,81.51,Walmart,,True
Purchase via Mastercard,housing,1589.27,Rent Payment,,True
$158 Payment for services,housing,645.11,Mortgage,,True
Oct Exxon ride,transportation,15.39,Gas Station,,True
$79 Electronics eBay,shopping,15.0,Macy's,,True
Dinner at Applebees,dining,24.49,Panera Bread,True,
Lunch at Starbucks $101,dining,48.5,Chipotle,,True
bank transfer,entertainment,42.8,Netflix,,True
Produce purchase Jan,groceries,35.6,Meijer,,True
Entertainment Transaction,entertainment,10.0,YouTube Premium,True,
Housing Transaction via Mastercard,housing,1557.89,Home Insurance,,True
dinner at dunkin',dining,27.97,Burger King,,True
Contract Work Invoice #8940,freelance,100.0,,True,
Oct Payment for services,subscriptions,18.95,,,True
Contract Work Invoice #1381,freelance,1376.02,,,True
payment to Dinner at Taco Bell,dining,53.26,Domino's,,True
Old Navy order purchase,shopping,15.0,Kohl's,,True
Clothing purchase Jul,shopping,108.86,Old Navy,,True
payment to Dinner at Starbucks,dining,5.0,Dunkin',,True
Groceries at Trader Joe's via PayPal,groceries,182.94,Costco,,True
at Subway,dining,25.97,Chick-fil-A,,True
Contract Work Invoice #3817,freelance,657.01,,True,
Target shopping purchase,shopping,76.61,Nordstrom,,True
food lion grocery,groceries,47.79,Safeway,,True
Jul Supermarket purchase,groceries,119.38,Trader Joe's,,True
Payment for services Mar,utilities,196.79,Electric Company,,True
Contract Work Invoice #1040,freelance,100.0,,,True
$52 Bank Transfer,healthcare,20.0,Hospital,,True
Coffee at Chick-fil-A,dining,26.45,Starbucks,True,
Supermarket purchase $191,groceries,186.51,Target,,True
Contract Work Invoice #2601,freelance,100.0,,True,
Contract Work Invoice #6696,freelance,100.0,,,True
Exxon ride Dec,transportation,42.68,Bus Ticket,,True
at Electronics Amazon,shopping,327.96,Lowe's,,True
Bank Transfer $30,utilities,118.48,Cable TV,,True
GROCERIES AT MEIJER,groceries,137.65,Publix,,True
Walmart Order,shopping,145.81,Gap,,True
Contract Work Invoice #7867,freelance,918.69,,True,
gap order,shopping,15.0,Target,,True
$19 Coffee at Applebees,dining,37.13,Burger King,,True
$189 Direct Deposit Salary,salary,5414.84,,,True
$66 Monthly Salary Deposit,salary,6226.12,,,True
Mar Lunch at McDonald's,dining,28.12,Pizza Hut,,True
$58 Purchase,healthcare,20.0,Pharmacy,,True
Produce purchase Jun,groceries,105.89,Publix,,True
Payment for services $74,healthcare,45.3,Prescription,,True
DINNER AT WENDY'S,dining,33.36,Chick-fil-A,,True
Trader Joe's grocery purchase,groceries,105.95,Walmart,,True
LUNCH AT APPLEBEES,dining,21.53,Pizza Hut,,True
Home goods $101,shopping,209.92,Best Buy,,True
payment to Gap shopping,shopping,15.0,Best Buy,,True
gas at shell,transportation,44.1,Shell,,True
Direct Deposit Salary Aug,salary,8442.4,,,True
$101 Contract Work Invoice #5100,freelance,100.0,,,True
Walmart grocery purchase,groceries,89.68,Whole Foods,,True
Bank Transfer Nov,subscriptions,17.16,,,True
$130 Target shopping,shopping,15.0,Target,,True
Monthly Salary Deposit $61,salary,2085.56,,,True
Lunch at Chipotle via PayPal,dining,44.29,McDonald's,,True
Whole Foods grocery via Apple Pay,groceries,30.1,Meijer,,True
Trader Joe's grocery via Visa,groceries,123.79,Publix,,True
Bank Transfer $33,utilities,112.17,Gas Company,,True
Gas at Metro Transit,transportation,57.39,Gas Station,True,
Contract Work Invoice #5570,freelance,100.0,,True,
Lunch At Wendy'S,dining,14.78,Subway,,True
Contract Work Invoice #3186,freelance,1047.97,,True,
HOME DEPOT ORDER,shopping,15.0,Amazon,,True
Food shopping $61,groceries,21.41,Target,,True
Dinner at Starbucks purchase,dining,5.0,Dunkin',,True
$20 Restaurant meal,dining,28.38,Panera Bread,,True
Parking Fee,transportation,27.47,Gas Station,,True
Home Depot Shopping,shopping,190.35,Old Navy,,True
Gas at Gas Station Feb,transportation,37.33,Parking,,True
online purchase old navy,shopping,15.0,Nordstrom,,True
Electronics Macy's,shopping,207.27,Best Buy,True,
Public transportation $170,transportation,34.21,Lyft,,True
Utilities Transaction via PayPal,utilities,196.15,Water Bill,,True
Jun Restaurant meal,dining,5.0,Pizza Hut,,True
payment to Gas at Metro Transit,transportation,23.82,BP,,True
Bank Transfer,healthcare,119.15,Health Insurance,True,
Monthly Salary Deposit via Apple Pay,salary,7408.81,,,True
DINNER AT CHICK-FIL-A,dining,16.14,Dunkin',,True
Dinner At Starbucks,dining,5.0,Dunkin',,True
$108 Monthly Salary Deposit,salary,6866.52,,,True
SUBSCRIPTIONS TRANSACTION,subscriptions,22.81,,,True
ONLINE PURCHASE BEST BUY,shopping,37.09,Kohl's,,True
Subscriptions Transaction $52,subscriptions,27.07,,,True
freelance payment,freelance,2148.56,,,True
Payment for services $158,housing,645.11,Mortgage,,True
Food shopping $71,groceries,38.76,Publix,,True
Lowe's order,shopping,15.0,Kohl's,True,
Bank Transfer $119,utilities,166.31,Sewer Bill,,True
Direct Deposit Salary $124,salary,5966.92,,,True
Subscriptions Transaction via Mastercard,subscriptions,31.61,,,True
Contract Work Invoice #9514,freelance,1505.69,,True,
Lyft Ride,transportation,19.45,Gas Station,,True
$34 Lunch at Taco Bell,dining,54.1,Panera Bread,,True
$157 Home goods,shopping,118.74,Kohl's,,True
Monthly Salary Deposit Dec,salary,2957.36,,,True
restaurant meal,dining,5.0,Starbucks,,True
payment to Groceries at Publix,groceries,31.17,Safeway,,True
Bank Transfer Jun,utilities,126.82,Electric Company,,True
PAYMENT FOR SERVICES,housing,1676.64,Property Tax,,True
UTILITIES TRANSACTION,utilities,286.07,Internet Service,,True
Dinner at McDonald's via Visa,dining,58.2,Chick-fil-A,,True
Kohl's order,shopping,163.2,Old Navy,True,
at Lunch at Wendy's,dining,14.78,Subway,,True
at Nordstrom order,shopping,24.42,Nordstrom,,True
at Target shopping,shopping,76.61,Nordstrom,,True
Produce purchase $93,groceries,81.92,Trader Joe's,,True
May Fast food,dining,28.55,Domino's,,True
Lunch at Subway via PayPal,dining,72.16,Burger King,,True
Taxi Service,transportation,43.1,Gas Station,,True
Contract Work Invoice #7825,freelance,2668.66,,True,
at Applebees,dining,31.4,Wendy's,,True
Electronics Amazon Jul,shopping,327.96,Lowe's,,True
PARKING FEE,transportation,27.47,Gas Station,,True
$136 Meijer grocery,groceries,59.32,Aldi,,True
Contract Work Invoice #9509,freelance,1313.01,,True,
Groceries at Publix via Google Pay,groceries,23.17,Safeway,,True
Lunch at McDonald's purchase,dining,13.65,Chipotle,,True
GROCERIES AT TRADER JOE'S,groceries,182.94,Costco,,True
Contract Work Invoice #5353 $158,freelance,168.35,,,True
$78 Paycheck from Tech Corp,salary,3532.74,,,True
Supermarket purchase $36,groceries,83.65,Trader Joe's,,True
Supermarket purchase via PayPal,groceries,122.87,Walmart,,True
clothing purchase,shopping,100.01,Macy's,,True
$186 Payment for services,housing,500.0,HOA Fees,,True
Bus Ticket ride $13,transportation,45.27,Train Ticket,,True
Walmart order via Visa,shopping,15.0,Nordstrom,,True
$103 Monthly Salary Deposit,salary,7408.81,,,True
Coffee at Starbucks,dining,12.46,Dunkin',True,
$78 Entertainment Transaction,entertainment,120.58,HBO Max,,True
Payment for services Oct,subscriptions,18.95,,,True
Fast food Oct,dining,30.47,Chick-fil-A,,True
Aug Restaurant meal,dining,64.15,Panera Bread,,True
Sep Groceries at Kroger,groceries,105.71,Food Lion,,True
Paycheck from Global Solutions,salary,2487.21,,True,
$31 Groceries at Trader Joe's,groceries,75.29,Walmart,,True
at Groceries at Food Lion,groceries,78.13,Walmart,,True
payment to Electronics Best Buy,shopping,15.0,Target,,True
$177 Dinner at Burger King,dining,35.94,Starbucks,,True
Direct Deposit Salary via Visa,salary,2814.07,,,True
taco bell,dining,19.34,Applebees,,True
Clothing purchase via Google Pay,shopping,104.08,Amazon,,True
Clothing purchase $90,shopping,104.08,Amazon,,True
contract work invoice #6595,freelance,223.59,,,True
Apr Bank Transfer,utilities,121.6,Internet Service,,True
dinner at starbucks,dining,5.0,Dunkin',,True
Fast food $109,dining,29.56,Taco Bell,,True
Weekly groceries $55,groceries,106.77,Target,,True
Online purchase Kohl's,shopping,27.55,Gap,True,
Contract Work Invoice #7419,freelance,1837.4,,True,
Groceries at Food Lion,groceries,109.76,Costco,True,
Weekly groceries May,groceries,112.11,Kroger,,True
Nov Paycheck from Global Solutions,salary,6752.29,,,True
Car maintenance $199,transportation,21.47,Train Ticket,,True
coffee at burger king,dining,24.3,Subway,,True
Public transportation via Apple Pay,transportation,17.72,Exxon,,True
contract work invoice #2121,freelance,701.97,,,True
Dinner at Chick-fil-A purchase,dining,16.14,Dunkin',,True
payment to Lunch at Applebees,dining,21.53,Pizza Hut,,True
Jan Lunch at Wendy's,dining,14.78,Subway,,True
Coffee at McDonald's purchase,dining,40.42,Applebees,,True
$102 Bank Transfer,housing,514.45,Home Insurance,,True
electronics gap,shopping,63.84,Home Depot,,True
amazon order,shopping,86.3,Best Buy,,True
CONTRACT WORK INVOICE #1381,freelance,1376.02,,,True
Contract Work Invoice #4324,freelance,1225.11,,True,
Direct Deposit Salary $189,salary,5414.84,,,True
$7 Public transportation,transportation,61.86,Bus Ticket,,True
Bank Transfer May,healthcare,20.0,Prescription,,True
$116 Home goods,shopping,15.0,Macy's,,True
LOWE'S SHOPPING,shopping,15.0,Lowe's,,True
Old Navy Order,shopping,15.0,Kohl's,,True
weekly groceries,groceries,117.07,Kroger,,True
Payment for services $186,housing,500.0,HOA Fees,,True
Coffee at Subway,dining,11.3,Chick-fil-A,True,
Purchase Feb,utilities,138.39,Sewer Bill,,True
Coffee at Olive Garden,dining,18.04,Chipotle,True,
Electronics Gap via Google Pay,shopping,63.84,Home Depot,,True
Contract Work Invoice #9791,freelance,2684.56,,True,
GAP ORDER,shopping,15.0,Target,,True
Gas at Parking,transportation,20.39,Bus Ticket,True,
coffee at mcdonald's,dining,40.42,Applebees,,True
Ebay Shopping,shopping,275.14,Gap,,True
Electronics Gap purchase,shopping,63.84,Home Depot,,True
starbucks,dining,5.0,Starbucks,,True
Online purchase Lowe's via Mastercard,shopping,42.87,Amazon,,True
Mar Bank Transfer,entertainment,34.91,Netflix,,True
Gas at Uber,transportation,50.13,Lyft,True,
Dinner At Mcdonald'S,dining,21.2,Wendy's,,True
$194 Coffee at Chipotle,dining,42.03,Wendy's,,True
Coffee At Chipotle,dining,42.03,Wendy's,,True
Bank Transfer $29,housing,1627.02,Mortgage,,True
Electronics Gap via Visa,shopping,15.0,Amazon,,True
$16 Payment for services,housing,1785.82,HOA Fees,,True
Apr Bus Ticket ride,transportation,45.27,Train Ticket,,True
Weekly Groceries,groceries,117.07,Kroger,,True
$144 Groceries at Walmart,groceries,64.39,Publix,,True
paycheck from innovation co,salary,4489.71,,,True
Bank Transfer Nov,entertainment,79.74,Spotify,,True
Dinner At Chipotle,dining,38.28,Taco Bell,,True
lowe's order,shopping,40.74,Gap,,True
PAYCHECK FROM INNOVATION CO,salary,4489.71,,,True
payment to Old Navy order,shopping,15.0,Kohl's,,True
Paycheck From Acme Inc,salary,4220.01,,,True
$25 Lunch at Taco Bell,dining,10.78,Domino's,,True
CONTRACT WORK INVOICE #6696,freelance,100.0,,,True
ONLINE PURCHASE HOME DEPOT,shopping,103.2,Best Buy,,True
Jul Contract Work Invoice #7391,freelance,100.0,,,True
ONLINE PURCHASE MACY'S,shopping,108.05,Home Depot,,True
Lunch at Olive Garden $190,dining,23.67,Domino's,,True
Bank Transfer via Apple Pay,subscriptions,19.04,,,True
$116 Payment for services,subscriptions,47.22,,,True
Weekly groceries Feb,groceries,20.0,Safeway,,True
Burger King,dining,5.0,Dunkin',True,
Home Depot shopping,shopping,15.0,Walmart,True,
Best Buy shopping via PayPal,shopping,15.0,Lowe's,,True
Parking fee via Visa,transportation,40.52,Gas Station,,True
payment to Dinner at McDonald's,dining,21.2,Wendy's,,True
Coffee at Starbucks via Google Pay,dining,11.16,Domino's,,True
BANK TRANSFER,healthcare,213.68,Health Insurance,,True
payment to Dinner at Applebees,dining,18.99,Subway,,True
ONLINE PURCHASE AMAZON,shopping,217.14,Best Buy,,True
Groceries at Food Lion via Apple Pay,groceries,78.13,Walmart,,True
Contract Work Invoice #9309,freelance,378.13,,True,
Direct Deposit Salary $79,salary,5537.72,,,True
Train Ticket ride purchase,transportation,33.19,Shell,,True
Dinner at Chipotle,dining,27.51,McDonald's,True,
$59 Weekly groceries,groceries,20.0,Safeway,,True
Car Maintenance,transportation,73.62,Metro Transit,,True
at Wendy's,dining,21.26,Pizza Hut,,True
Contract Work Invoice #4470,freelance,2610.73,,True,
$36 Supermarket purchase,groceries,83.65,Trader Joe's,,True
$186 Car maintenance,transportation,11.67,Uber,,True
Aug Healthcare Transaction,healthcare,20.0,Hospital,,True
Electronics Walmart $44,shopping,481.95,Target,,True
Applebees $138,dining,31.4,Wendy's,,True
payment to Coffee at Panera Bread,dining,32.48,Taco Bell,,True
Food Lion Grocery,groceries,47.79,Safeway,,True
Purchase $6,housing,1743.79,Home Insurance,,True
Groceries at Target purchase,groceries,43.6,Aldi,,True
Bank Transfer $26,utilities,141.94,Internet Service,,True
Apr Bank Transfer,subscriptions,11.95,,,True
Entertainment Transaction $28,entertainment,85.93,Sports Game,,True
Dinner at Subway,dining,57.87,Starbucks,True,
Purchase $11,entertainment,65.37,Disney+,,True
Car maintenance Jan,transportation,16.61,Gas Station,,True
Contract Work Invoice #1290,freelance,100.0,,True,
$179 Bank Transfer,housing,1534.36,Property Management,,True
Consulting Services $10,freelance,2567.57,,,True
Gas At Gas Station,transportation,11.4,Gas Station,,True
Housing Transaction Jul,housing,2123.3,Property Management,,True
Entertainment Transaction via Visa,entertainment,10.0,Netflix,,True
Online purchase Amazon via Mastercard,shopping,217.14,Best Buy,,True
Home goods $39,shopping,209.87,Kohl's,,True
Best Buy order purchase,shopping,15.0,Macy's,,True
$34 Payment for services,entertainment,10.0,HBO Max,,True
$136 Lowe's order,shopping,64.85,Kohl's,,True
EXXON RIDE,transportation,15.39,Gas Station,,True
PAYMENT FOR SERVICES,entertainment,58.16,HBO Max,,True
Coffee at Chipotle via Visa,dining,42.03,Wendy's,,True
target shopping,shopping,76.61,Nordstrom,,True
$185 Electronics eBay,shopping,94.65,Home Depot,,True
lunch at wendy's,dining,14.78,Subway,,True
Electronics Home Depot purchase,shopping,174.94,Lowe's,,True
at Electronics Walmart,shopping,481.95,Target,,True
WALMART ORDER,shopping,145.81,Gap,,True
Feb Purchase,entertainment,33.74,Spotify,,True
$101 Lunch at Starbucks,dining,48.5,Chipotle,,True
Contract Work Invoice #8161,freelance,1017.28,,True,
$123 Groceries at Safeway,groceries,83.56,Publix,,True
Old Navy order via Apple Pay,shopping,207.93,Macy's,,True
Paycheck from Tech Corp $89,salary,2669.24,,,True
Exxon ride Oct,transportation,15.39,Gas Station,,True
DINNER AT CHIPOTLE,dining,38.28,Taco Bell,,True
Contract Work Invoice #5100,freelance,100.0,,,True
Contract Work Invoice #1888,freelance,100.0,,True,
$198 Bank Transfer,entertainment,26.32,Hulu,,True
Bank Transfer via PayPal,utilities,203.29,Trash Service,,True
at Costco grocery,groceries,110.98,Meijer,,True
Bank Transfer Mar,entertainment,34.91,Netflix,,True
Sep Purchase,healthcare,63.26,Hospital,,True
CONTRACT WORK INVOICE #4694,freelance,1373.02,,,True
Gap order via Visa,shopping,15.0,Walmart,,True
payment to Gas at Bus Ticket,transportation,38.63,Shell,,True
Payment for services via PayPal,housing,1676.64,Property Tax,,True
at Dinner at Burger King,dining,35.94,Starbucks,,True
groceries at trader joe's,groceries,75.29,Walmart,,True
Contract Work Invoice #8175,freelance,100.0,,True,
Jun Payment for services,utilities,112.93,Internet Service,,True
payment to Electronics Amazon,shopping,327.96,Lowe's,,True
Jul Lunch at Applebees,dining,5.0,Subway,,True
Oct Supermarket purchase,groceries,74.47,Target,,True
CONTRACT WORK INVOICE #5373,freelance,938.6,,,True
Purchase $181,entertainment,38.96,Spotify,,True
payment to Lunch at Olive Garden,dining,25.37,Chick-fil-A,,True
payment to Kohl's order,shopping,204.99,Walmart,,True
Weekly groceries Mar,groceries,134.23,Trader Joe's,,True
online purchase lowe's,shopping,42.87,Amazon,,True
Entertainment Transaction via Google Pay,entertainment,85.93,Sports Game,,True
Direct Deposit Salary via Mastercard,salary,5685.03,,,True
$69 Taxi service,transportation,45.69,Lyft,,True
Giant grocery Nov,groceries,81.55,Food Lion,,True
eBay shopping Nov,shopping,275.14,Gap,,True
Consulting Services via Visa,freelance,100.0,,,True
ebay shopping,shopping,15.0,Walmart,,True
Gas at BP via PayPal,transportation,72.04,Shell,,True
Lyft ride purchase,transportation,19.45,Gas Station,,True
Oct Fast food,dining,30.47,Chick-fil-A,,True
Purchase via Google Pay,healthcare,20.0,Medical Supplies,,True
Supermarket purchase via Apple Pay,groceries,33.05,Kroger,,True
Lunch At Olive Garden,dining,25.37,Chick-fil-A,,True
payment to Nordstrom shopping,shopping,196.13,Best Buy,,True
Lunch at Taco Bell,dining,41.28,Subway,True,
entertainment transaction,entertainment,97.9,Disney+,,True
at Meijer grocery,groceries,131.05,Walmart,,True
Groceries at Publix via Apple Pay,groceries,79.2,Costco,,True
Chipotle Apr,dining,25.55,Panera Bread,,True
Mar Nordstrom order,shopping,24.42,Nordstrom,,True
Wendy's $134,dining,27.88,Taco Bell,,True
Contract Work Invoice #5945,freelance,3286.07,,True,
Feb Monthly Salary Deposit,salary,6866.52,,,True
Coffee at Wendy's via Mastercard,dining,13.44,Taco Bell,,True
Lunch at Starbucks Sep,dining,45.97,Dunkin',,True
$194 Payment for services,entertainment,58.16,HBO Max,,True
at Gas at Lyft,transportation,21.5,Shell,,True
$177 Direct Deposit Salary,salary,2000.0,,,True
Contract Work Invoice #2108,freelance,1928.19,,True,
at Panera Bread,dining,5.0,Dunkin',,True
Monthly Salary Deposit Nov,salary,2000.0,,,True
Kohl'S Order,shopping,204.99,Walmart,,True
Meijer grocery,groceries,50.0,Whole Foods,True,
$34 Restaurant meal,dining,5.0,Pizza Hut,,True
Walmart Shopping,shopping,271.46,Old Navy,,True
GAS AT MOBIL,transportation,46.51,BP,,True
Electronics Old Navy purchase,shopping,44.86,Old Navy,,True
at Gas at Uber,transportation,40.44,Mobil,,True
LUNCH AT OLIVE GARDEN,dining,25.37,Chick-fil-A,,True
$53 Purchase,healthcare,178.85,Medical Supplies,,True
Bank Transfer $179,housing,1534.36,Property Management,,True
Contract Work Invoice #2184,freelance,2601.02,,True,
Gap order via Apple Pay,shopping,15.0,Target,,True
Coffee at Taco Bell purchase,dining,30.27,Pizza Hut,,True
Whole Foods Grocery,groceries,30.1,Meijer,,True
Produce purchase $20,groceries,84.96,Kroger,,True
Restaurant meal Jul,dining,31.69,Panera Bread,,True
Safeway grocery,groceries,33.43,Aldi,True,
Car maintenance via Apple Pay,transportation,50.53,Train Ticket,,True
$184 Bank Transfer,entertainment,38.95,Bowling,,True
Purchase $47,subscriptions,22.14,,,True
Payment for services $116,subscriptions,47.22,,,True
OLIVE GARDEN,dining,24.97,Chipotle,,True
Lunch at Chick-fil-A via PayPal,dining,5.0,Chipotle,,True
Dinner at Taco Bell purchase,dining,53.26,Domino's,,True
at Gas at Bus Ticket,transportation,38.63,Shell,,True
meijer grocery,groceries,131.05,Walmart,,True
ONLINE PURCHASE EBAY,shopping,15.0,Macy's,,True
Contract Work Invoice #4868,freelance,262.33,,True,
Jun Bank Transfer,utilities,126.82,Electric Company,,True
Old Navy shopping,shopping,66.76,Old Navy,True,
Amazon shopping,shopping,158.78,Macy's,True,
contract work invoice #6758,freelance,439.57,,,True
Electronics Old Navy,shopping,124.44,Macy's,True,
Coffee at Taco Bell Sep,dining,30.27,Pizza Hut,,True
Groceries at Giant purchase,groceries,107.66,Publix,,True
electronics lowe's,shopping,90.93,Best Buy,,True
Direct Deposit Salary $35,salary,2215.54,,,True
Lunch at Applebees $150,dining,5.0,Applebees,,True
Contract Work Invoice #5219,freelance,100.0,,True,
DINNER AT TACO BELL,dining,53.26,Domino's,,True
OLD NAVY SHOPPING,shopping,15.0,Nordstrom,,True
BANK TRANSFER,utilities,30.0,Water Bill,,True
Aldi grocery purchase,groceries,196.37,Walmart,,True
Fast food via Google Pay,dining,32.49,Pizza Hut,,True
Subscriptions Transaction via Visa,subscriptions,21.16,,,True
costco grocery,groceries,110.98,Meijer,,True
Housing Transaction $75,housing,1089.63,Property Tax,,True
Purchase,entertainment,75.9,Arcade,True,
Clothing Purchase,shopping,100.01,Macy's,,True
payment to Train Ticket ride,transportation,33.19,Shell,,True
Groceries At Food Lion,groceries,78.13,Walmart,,True
Groceries at Aldi,groceries,92.44,Kroger,True,
payment to Gas at Lyft,transportation,21.5,Shell,,True
GROCERIES AT SAFEWAY,groceries,83.56,Publix,,True
AMAZON SHOPPING,shopping,207.21,Old Navy,,True
CONTRACT WORK INVOICE #6758,freelance,439.57,,,True
Direct Deposit Salary Feb,salary,5537.72,,,True
Aug Direct Deposit Salary,salary,8442.4,,,True
Payment for services $194,entertainment,58.16,HBO Max,,True
at Kohl's shopping,shopping,125.5,Walmart,,True
Nordstrom shopping $8,shopping,196.13,Best Buy,,True
Purchase $175,utilities,128.01,Phone Bill,,True
Nordstrom shopping purchase,shopping,196.13,Best Buy,,True
HOME GOODS,shopping,235.78,Macy's,,True
Supermarket purchase Jun,groceries,198.36,Meijer,,True
Food shopping Oct,groceries,117.33,Whole Foods,,True
Oct Purchase,entertainment,38.96,Spotify,,True
